,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
76,P1,26/10/2025,15:30,Estoril,Nacional,1,1,D,0,1,A,13,9,4,4,13,15,6,5,3,3,0,0,2.15,3.25,3.3
77,P1,26/10/2025,15:30,Famalicao,Guimaraes,2,0,H,1,0,H,15,13,10,3,20,14,5,4,1,2,0,0,1.91,3.3,4.1
78,P1,26/10/2025,18:00,Tondela,Sp Lisbon,0,3,A,0,1,A,9,29,2,15,12,12,2,9,3,1,0,0,9.0,6.0,1.24
79,P1,26/10/2025,20:30,Sp Braga,Casa Pia,4,0,H,2,0,H,15,3,8,1,16,16,4,2,1,3,0,0,1.39,4.5,7.0
80,P1,27/10/2025,20:15,Moreirense,Porto,1,2,A,1,1,D,8,16,1,7,15,13,2,7,3,1,0,0,9.5,5.5,1.27
81,P1,31/10/2025,20:15,Sp Lisbon,Alverca,2,0,H,0,0,D,27,8,8,0,9,10,10,0,1,1,0,0,1.1,9.0,17.0
82,P1,01/11/2025,15:30,Nacional,Famalicao,0,1,A,0,1,A,8,20,3,4,15,18,3,10,4,6,1,0,3.2,3.25,2.2
83,P1,01/11/2025,18:00,Casa Pia,Estrela,3,5,A,1,2,A,10,12,4,6,20,21,5,2,2,3,0,0,2.01,3.05,3.9
84,P1,01/11/2025,18:00,Rio Ave,Estoril,0,4,A,0,2,A,2,24,0,6,10,14,0,6,2,1,1,0,2.35,3.2,2.95
85,P1,01/11/2025,20:30,Guimaraes,Benfica,0,3,A,0,0,D,10,24,3,10,12,11,3,6,3,4,1,0,6.0,4.75,1.42
86,P1,02/11/2025,15:30,AVS,Tondela,2,2,D,1,1,D,15,10,5,3,18,17,5,3,4,4,0,0,3.2,3.05,2.3
87,P1,02/11/2025,18:00,Arouca,Moreirense,0,2,A,0,2,A,11,6,2,5,11,11,5,2,3,2,0,0,2.57,3.2,2.65
88,P1,02/11/2025,20:30,Porto,Sp Braga,2,1,H,1,0,H,9,10,4,3,15,13,2,3,3,3,0,0,1.49,4.0,6.25
89,P1,03/11/2025,20:45,Gil Vicente,Santa Clara,1,0,H,1,0,H,9,15,3,4,16,14,2,0,2,3,0,0,2.25,2.95,3.4
90,P1,07/11/2025,20:15,Estoril,Arouca,4,3,H,2,2,D,19,10,7,4,9,13,10,2,1,1,0,0,1.91,3.6,3.7
91,P1,08/11/2025,15:30,Alverca,Rio Ave,1,1,D,0,1,A,15,11,5,4,15,16,9,3,2,0,0,0,2.15,3.3,3.2
92,P1,08/11/2025,18:00,Tondela,Guimaraes,0,1,A,0,0,D,15,11,4,2,14,11,4,3,3,2,0,0,2.75,3.05,2.55
93,P1,08/11/2025,20:30,Santa Clara,Sp Lisbon,1,2,A,1,1,D,5,21,2,7,11,12,2,12,7,4,2,1,7.0,4.5,1.39
94,P1,09/11/2025,15:30,AVS,Gil Vicente,1,1,D,0,1,A,16,12,8,5,12,19,1,4,1,5,0,0,4.75,3.6,1.68
95,P1,09/11/2025,15:30,Estrela,Nacional,1,1,D,0,1,A,14,17,4,4,12,15,2,6,3,4,0,0,2.7,3.2,2.5
96,P1,09/11/2025,18:00,Famalicao,Porto,0,1,A,0,1,A,8,19,0,6,24,13,2,4,5,2,0,0,5.5,3.9,1.56
