Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
28/09/2024,14:30,Wolfsburg,Stuttgart,2,2,D,1.0,1.0,D,5.0,17.0,2.0,5.0,20.0,10.0,1.0,3.0,5.0,2.0,0.0,1.0,3.2,3.9,2.05
28/09/2024,17:30,Bayern Munich,Leverkusen,1,1,D,1.0,1.0,D,18.0,3.0,3.0,3.0,11.0,15.0,6.0,1.0,1.0,3.0,0.0,0.0,1.73,4.33,4.2
29/09/2024,14:30,Holstein Kiel,Ein Frankfurt,2,4,A,1.0,1.0,D,10.0,18.0,5.0,10.0,12.0,13.0,4.0,9.0,1.0,3.0,0.0,0.0,4.2,4.2,1.73
29/09/2024,16:30,Hoffenheim,Werder Bremen,3,4,A,3.0,3.0,D,10.0,18.0,5.0,10.0,12.0,19.0,2.0,6.0,3.0,3.0,1.0,0.0,2.38,3.8,2.7
04/10/2024,19:30,Augsburg,M'gladbach,2,1,H,1.0,0.0,H,13.0,11.0,5.0,5.0,13.0,15.0,6.0,5.0,2.0,4.0,0.0,0.0,2.38,3.7,2.7
05/10/2024,14:30,Bochum,Wolfsburg,1,3,A,0.0,2.0,A,17.0,15.0,5.0,5.0,11.0,12.0,7.0,6.0,1.0,2.0,0.0,0.0,3.0,3.7,2.2
05/10/2024,14:30,Leverkusen,Holstein Kiel,2,2,D,2.0,1.0,H,24.0,8.0,7.0,4.0,5.0,9.0,12.0,3.0,2.0,2.0,0.0,0.0,1.09,11.0,21.0
05/10/2024,14:30,Union Berlin,Dortmund,2,1,H,2.0,0.0,H,13.0,9.0,5.0,5.0,15.0,17.0,3.0,3.0,4.0,4.0,0.0,0.0,3.3,3.5,2.15
05/10/2024,14:30,Werder Bremen,Freiburg,0,1,A,0.0,0.0,D,11.0,13.0,3.0,3.0,7.0,9.0,7.0,5.0,1.0,2.0,0.0,0.0,2.6,3.5,2.6
05/10/2024,17:30,St Pauli,Mainz,0,3,A,0.0,2.0,A,17.0,8.0,4.0,4.0,12.0,16.0,2.0,2.0,0.0,3.0,0.0,0.0,2.4,3.3,2.9
06/10/2024,14:30,Heidenheim,RB Leipzig,0,1,A,0.0,0.0,D,15.0,12.0,4.0,2.0,12.0,13.0,3.0,2.0,2.0,2.0,0.0,0.0,4.5,4.33,1.67
06/10/2024,16:30,Ein Frankfurt,Bayern Munich,3,3,D,2.0,2.0,D,5.0,22.0,4.0,13.0,10.0,6.0,0.0,11.0,1.0,1.0,0.0,0.0,5.5,4.5,1.53
06/10/2024,18:30,Stuttgart,Hoffenheim,1,1,D,0.0,1.0,A,18.0,7.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,4.0,0.0,0.0,1.3,6.0,8.0
18/10/2024,19:30,Dortmund,St Pauli,2,1,H,1.0,0.0,H,20.0,10.0,7.0,3.0,8.0,7.0,7.0,1.0,2.0,1.0,0.0,0.0,1.3,5.25,9.5
19/10/2024,14:30,Freiburg,Augsburg,3,1,H,3.0,0.0,H,15.0,9.0,6.0,3.0,11.0,7.0,5.0,4.0,1.0,1.0,0.0,0.0,1.73,3.75,4.75
19/10/2024,14:30,Hoffenheim,Bochum,3,1,H,1.0,0.0,H,12.0,13.0,7.0,4.0,10.0,12.0,4.0,2.0,1.0,1.0,0.0,0.0,1.7,4.5,4.2
19/10/2024,14:30,Leverkusen,Ein Frankfurt,2,1,H,1.0,1.0,D,27.0,9.0,9.0,2.0,9.0,5.0,8.0,3.0,2.0,1.0,0.0,0.0,1.44,4.75,6.5
19/10/2024,14:30,Mainz,RB Leipzig,0,2,A,0.0,2.0,A,16.0,11.0,2.0,5.0,12.0,15.0,5.0,3.0,1.0,3.0,0.0,0.0,3.9,3.8,1.85
19/10/2024,14:30,M'gladbach,Heidenheim,3,2,H,1.0,1.0,D,20.0,19.0,10.0,6.0,15.0,9.0,6.0,3.0,3.0,3.0,0.0,0.0,1.85,3.7,4.1
19/10/2024,17:30,Bayern Munich,Stuttgart,4,0,H,0.0,0.0,D,22.0,4.0,10.0,1.0,6.0,10.0,7.0,3.0,0.0,2.0,0.0,0.0,1.36,5.25,7.5
20/10/2024,14:30,Holstein Kiel,Union Berlin,0,2,A,0.0,1.0,A,12.0,14.0,5.0,4.0,8.0,11.0,7.0,3.0,2.0,1.0,0.0,0.0,3.5,3.3,2.15
20/10/2024,16:30,Wolfsburg,Werder Bremen,2,4,A,1.0,1.0,D,14.0,15.0,6.0,7.0,15.0,9.0,4.0,4.0,1.0,1.0,1.0,0.0,2.1,3.6,3.3
25/10/2024,19:30,Mainz,M'gladbach,1,1,D,0.0,0.0,D,23.0,9.0,6.0,5.0,16.0,16.0,2.0,4.0,3.0,2.0,0.0,0.0,2.3,3.75,2.8
26/10/2024,14:30,Augsburg,Dortmund,2,1,H,1.0,1.0,D,12.0,11.0,4.0,4.0,13.0,10.0,3.0,5.0,3.0,3.0,0.0,1.0,3.6,4.0,1.9
26/10/2024,14:30,RB Leipzig,Freiburg,3,1,H,0.0,1.0,A,12.0,15.0,9.0,5.0,9.0,7.0,3.0,3.0,3.0,2.0,0.0,0.0,1.73,4.1,4.5
26/10/2024,14:30,St Pauli,Wolfsburg,0,0,D,0.0,0.0,D,14.0,10.0,5.0,4.0,9.0,12.0,7.0,6.0,0.0,3.0,0.0,0.0,2.55,3.5,2.63
26/10/2024,14:30,Stuttgart,Holstein Kiel,2,1,H,1.0,0.0,H,16.0,9.0,6.0,3.0,6.0,17.0,9.0,5.0,3.0,6.0,1.0,1.0,1.22,7.5,9.5
26/10/2024,17:30,Werder Bremen,Leverkusen,2,2,D,0.0,1.0,A,13.0,15.0,8.0,6.0,9.0,11.0,3.0,5.0,1.0,1.0,0.0,0.0,5.25,5.0,1.5
27/10/2024,14:30,Bochum,Bayern Munich,0,5,A,0.0,2.0,A,6.0,17.0,2.0,9.0,15.0,6.0,2.0,5.0,1.0,1.0,0.0,0.0,12.0,9.5,1.17
27/10/2024,16:30,Union Berlin,Ein Frankfurt,1,1,D,0.0,1.0,A,13.0,17.0,4.0,5.0,13.0,7.0,4.0,5.0,5.0,3.0,0.0,1.0,2.55,3.3,2.75
27/10/2024,18:30,Heidenheim,Hoffenheim,0,0,D,0.0,0.0,D,17.0,12.0,3.0,4.0,12.0,16.0,7.0,3.0,1.0,2.0,0.0,0.0,2.25,3.5,3.1
01/11/2024,19:30,Leverkusen,Stuttgart,0,0,D,0.0,0.0,D,19.0,4.0,5.0,1.0,13.0,14.0,10.0,2.0,3.0,4.0,0.0,0.0,1.55,4.75,5.25
02/11/2024,14:30,Bayern Munich,Union Berlin,3,0,H,2.0,0.0,H,16.0,8.0,7.0,1.0,2.0,9.0,7.0,4.0,0.0,2.0,0.0,0.0,1.18,7.5,13.0
02/11/2024,14:30,Ein Frankfurt,Bochum,7,2,H,4.0,1.0,H,18.0,11.0,9.0,8.0,6.0,15.0,5.0,2.0,1.0,2.0,0.0,0.0,1.33,5.75,7.5
02/11/2024,14:30,Hoffenheim,St Pauli,0,2,A,0.0,1.0,A,12.0,7.0,6.0,3.0,10.0,10.0,7.0,2.0,0.0,2.0,0.0,0.0,1.83,3.8,4.0
02/11/2024,14:30,Holstein Kiel,Heidenheim,1,0,H,1.0,0.0,H,11.0,17.0,6.0,4.0,16.0,14.0,5.0,6.0,4.0,5.0,0.0,0.0,2.7,3.5,2.45
02/11/2024,14:30,Wolfsburg,Augsburg,1,1,D,0.0,1.0,A,18.0,3.0,6.0,1.0,7.0,14.0,8.0,1.0,1.0,3.0,0.0,0.0,2.0,3.75,3.5
02/11/2024,17:30,Dortmund,RB Leipzig,2,1,H,1.0,1.0,D,19.0,7.0,7.0,3.0,11.0,12.0,4.0,0.0,3.0,4.0,0.0,0.0,2.2,3.8,3.0
03/11/2024,14:30,Freiburg,Mainz,0,0,D,0.0,0.0,D,10.0,9.0,2.0,2.0,9.0,12.0,8.0,4.0,1.0,2.0,0.0,0.0,1.7,3.9,4.75
03/11/2024,16:30,M'gladbach,Werder Bremen,4,1,H,3.0,0.0,H,16.0,15.0,8.0,5.0,12.0,10.0,7.0,7.0,1.0,4.0,0.0,1.0,2.1,3.8,3.2
08/11/2024,19:30,Union Berlin,Freiburg,0,0,D,0.0,0.0,D,12.0,14.0,6.0,4.0,11.0,8.0,4.0,1.0,2.0,0.0,0.0,0.0,2.45,3.25,2.9
09/11/2024,14:30,Bochum,Leverkusen,1,1,D,0.0,1.0,A,15.0,11.0,3.0,3.0,10.0,9.0,6.0,4.0,0.0,1.0,0.0,0.0,9.5,6.5,1.27
09/11/2024,14:30,Mainz,Dortmund,3,1,H,2.0,1.0,H,13.0,2.0,9.0,1.0,17.0,5.0,8.0,0.0,3.0,1.0,0.0,1.0,3.5,3.6,2.0
09/11/2024,14:30,St Pauli,Bayern Munich,0,1,A,0.0,1.0,A,3.0,13.0,0.0,6.0,10.0,7.0,5.0,10.0,2.0,2.0,0.0,0.0,9.0,7.0,1.25
09/11/2024,14:30,Werder Bremen,Holstein Kiel,2,1,H,1.0,0.0,H,16.0,12.0,5.0,5.0,10.0,19.0,6.0,3.0,3.0,2.0,0.0,0.0,1.62,4.33,4.75
09/11/2024,17:30,RB Leipzig,M'gladbach,0,0,D,0.0,0.0,D,11.0,14.0,4.0,4.0,14.0,7.0,8.0,4.0,2.0,2.0,0.0,0.0,1.57,4.33,5.25
10/11/2024,14:30,Augsburg,Hoffenheim,0,0,D,0.0,0.0,D,16.0,11.0,4.0,2.0,16.0,7.0,10.0,6.0,2.0,3.0,0.0,0.0,2.05,3.75,3.25
10/11/2024,16:30,Stuttgart,Ein Frankfurt,2,3,A,0.0,1.0,A,22.0,8.0,11.0,5.0,10.0,15.0,8.0,3.0,2.0,3.0,0.0,0.0,1.9,4.0,3.7
10/11/2024,18:30,Heidenheim,Wolfsburg,1,3,A,0.0,2.0,A,19.0,13.0,4.0,6.0,9.0,23.0,5.0,5.0,1.0,6.0,0.0,0.0,2.75,3.4,2.45
22/11/2024,19:30,Bayern Munich,Augsburg,3,0,H,0.0,0.0,D,33.0,2.0,14.0,1.0,9.0,9.0,8.0,0.0,0.0,2.0,0.0,1.0,1.13,10.0,15.0
23/11/2024,14:30,Dortmund,Freiburg,4,0,H,2.0,0.0,H,19.0,7.0,7.0,3.0,11.0,4.0,7.0,0.0,1.0,2.0,0.0,2.0,1.67,4.2,4.5
23/11/2024,14:30,Hoffenheim,RB Leipzig,4,3,H,1.0,2.0,A,20.0,14.0,7.0,6.0,14.0,12.0,4.0,3.0,2.0,1.0,0.0,0.0,3.4,3.5,2.1
