,PH-PA,TH-TA,DGH-DGA,WH-WA,GFH-GFA,MGFH+MGFA,GCH-GCA,MGCH+MGCA,MGFH+MGCA,MGCH+MGFA,GFH-GCA,GCH-GFA,FOH-FOA,FDH-FDA,MFOH+MFOA,MFDH+MFDA,FOH-FDA,FDH-FOA,MFOH+MFDA,MFDH+MFOA,DSH-DSA,MDSH+MDSA,PRT,GLS,R
1700,84.0323082412674,10,5.0,3.0,10.0,2.0,4.0,2.4444444444444446,2.5555555555555554,1.8888888888888888,5.0,9.0,6.837865424049635,-5.673809523809524,2.5925069326385115,-1.856172839506173,20.60108692477114,-19.437031024531024,1.0632600992250116,-0.32692600609267286,1,0.7777777777777777,0,4.0,1
1701,-19.590099303287616,-1,-7.0,2.0,-2.0,4.6,-10.0,2.6,4.0,3.2,4.0,-16.0,-3.2911730426436314,0.5900793650793663,4.9219349767879175,-0.4193253968253966,25.35575502928444,-28.056848706848704,2.0572421695951104,2.4453674103674103,-4,1.0,-1,6.0,0
1702,-3.64713021960506,-4,-3.0,0.0,-7.0,2.5,-1.0,2.7,2.3,2.9000000000000004,-5.0,-3.0,-9.431432456432455,12.117460317460319,3.0100985125985122,-2.101904761904762,26.903030303030306,-24.21700244200244,-0.6233477633477635,1.531541514041514,2,1.0,0,1.0,1
1703,17.35014716763021,1,-9.0,1.5,-8.0,2.2,-9.0,1.7000000000000002,2.0,1.9,-6.0,-11.0,-6.942723453017573,4.746825396825397,3.4518481028775145,0.6021428571428572,13.1505772005772,-15.346475256769375,1.4425180375180373,2.6114729225023345,1,0.9,-1,3.0,-1
1704,-81.27632977635096,-13,-24.0,-0.5,-1.0,3.5,6.0,2.2,2.5,3.2,9.0,-4.0,-7.98913674045253,-13.773015873015872,4.315956455824876,-0.9606349206349207,15.501880575564787,-37.264033189033185,1.9668547242231451,1.3884668109668108,2,0.6000000000000001,0,0.0,0
1705,-92.65433604623752,-15,-26.0,-1.5,-6.0,2.8,3.0,2.3,2.1,3.0,1.0,-4.0,-6.356818181818181,-11.401551226551227,4.515508658008658,-0.26428210678210684,15.01976911976912,-32.77813852813853,2.377849927849928,1.8733766233766231,3,0.7,0,4.0,0
1706,258.2947860695949,36,53.0,5.5,26.0,3.8000000000000003,-4.0,2.0,4.4,1.4,20.0,2.0,25.006160506160516,6.957936507936509,4.79839382839383,-0.1796031746031747,40.87203352203353,-8.90793650793651,3.211806526806528,1.4069841269841272,-3,0.5,1,4.0,1
1707,-9.773320928453018,-3,7.0,2.0,5.0,1.7909090909090908,-5.0,3.3636363636363633,3.090909090909091,2.0636363636363635,-8.0,8.0,-1.2359010270774995,5.499603174603173,2.318402936932349,-1.547914862914863,22.223622782446313,-17.959920634920636,-0.027549444020032343,0.7980375180375183,3,0.8454545454545455,1,2.0,0
1708,-0.000911976910742851,2,-9.0,1.5,6.0,1.4,8.0,3.0,2.1,2.3,-1.0,15.0,5.126207126207124,-12.689754689754693,3.238811188811189,-2.42524531024531,24.538508713508712,-32.10205627705628,1.2975810300810302,-0.4840151515151514,-4,1.2000000000000002,1,4.0,1
1709,-75.85195929620363,-5,-2.0,0.5,2.0,0.8,1.0,2.9,1.9,1.8,-9.0,12.0,-1.4879162504162515,0.650000000000003,1.941118464868465,-1.4281746031746034,16.427507215007218,-17.265423465423467,0.14957611832611795,0.3633677433677436,-2,0.8,0,2.0,0
