,LocalFavor,VisitFavor,LocalContra,VisitContra,LocalRoja,VisitRoja,LocalAmarilla,VisitAmarilla,LocalCorner,VisitCorner,LocalTiros,VisitTiros,LocalFaltas,VisitFaltas,Resultado,FTG,Corner10,Ambos,UO_0.5,UO_1.5,UO_2.5,UO_3.5,UO_4.5
275,1.4,0.6,1.3,2.0,0.0,0.1,2.6,2.0,2.6,4.5,3.7,2.6,12.0,12.5,0,2,-1,1,1,1,0,0,0
276,1.1,0.9,1.0,1.3,0.1,0.1,2.0,2.3,6.2,3.9,4.1,3.3,10.3,11.9,0,2,1,0,1,1,0,0,0
277,1.4,0.9,1.3,1.9,0.0,0.0,1.0,2.5,5.6,3.6,4.1,3.3,8.6,12.1,1,1,-1,0,1,0,0,0,0
278,1.9,1.2,0.7,1.7,0.1,0.0,1.5,2.3,8.2,4.3,5.8,5.1,10.9,11.2,1,2,1,0,1,1,0,0,0
279,0.8,1.7,1.4,2.0,0.1,0.1,1.9,1.8,5.3,4.5,4.7,4.5,9.8,10.3,0,2,-1,1,1,1,0,0,0
280,1.1,1.8,1.5,1.7,0.0,0.0,1.6,1.4,4.3,4.7,3.8,5.1,10.7,11.5,0,2,0,0,1,1,0,0,0
281,1.4,0.6,1.9,2.3,0.1,0.0,2.0,1.8,5.8,4.1,4.2,2.5,12.3,11.4,1,3,1,1,1,1,1,0,0
282,1.2,0.9,1.4,1.3,0.1,0.1,1.4,2.3,3.5,3.9,4.2,3.3,11.0,11.9,0,3,1,1,1,1,1,0,0
283,1.1,1.5,1.0,1.6,0.1,0.0,2.0,1.5,6.2,5.6,4.1,5.3,10.3,10.7,0,0,-1,0,0,0,0,0,0
284,1.9,1.2,0.5,1.5,0.1,0.0,1.8,1.4,5.9,3.7,6.2,3.3,11.1,9.7,1,1,1,0,1,0,0,0,0
285,1.4,1.7,1.3,1.0,0.0,0.0,1.0,1.5,5.6,6.1,4.1,4.6,8.6,10.4,0,6,1,1,1,1,1,1,1
286,1.9,0.9,0.5,1.6,0.1,0.1,1.8,2.2,5.9,3.9,6.2,3.3,11.1,11.1,1,2,1,0,1,1,0,0,0
287,1.7,0.6,1.1,2.3,0.0,0.0,1.9,1.8,4.8,4.1,4.6,2.5,10.1,11.4,1,2,-1,0,1,1,0,0,0
288,1.8,1.7,0.9,1.0,0.1,0.0,1.5,1.5,4.9,6.1,5.2,4.6,8.9,10.4,0,3,1,1,1,1,1,0,0
289,1.6,0.8,1.5,1.6,0.1,0.0,1.4,1.3,5.6,5.3,4.3,3.6,10.2,10.4,0,1,1,0,1,0,0,0,0
290,1.2,0.9,1.4,2.3,0.1,0.0,1.4,2.0,3.5,3.3,4.2,3.2,11.0,9.9,0,1,1,0,1,0,0,0,0
291,1.9,1.8,1.3,1.7,0.1,0.0,2.2,1.4,6.2,4.7,6.1,5.1,11.9,11.5,1,3,0,1,1,1,1,0,0
292,1.0,0.9,1.1,1.5,0.2,0.1,2.4,2.1,5.3,4.8,3.9,4.3,11.9,10.6,1,1,1,0,1,0,0,0,0
293,1.0,1.8,1.9,0.8,0.0,0.0,1.4,1.3,4.6,5.4,4.2,5.3,10.5,9.2,0,5,0,1,1,1,1,1,1
294,1.4,1.0,1.9,1.4,0.1,0.1,2.0,2.4,5.8,4.5,4.2,3.6,12.3,12.0,0,6,-1,1,1,1,1,1,1
295,2.4,1.8,0.9,0.9,0.1,0.0,1.5,1.8,6.8,4.7,5.9,4.3,10.6,10.0,0,4,-1,1,1,1,1,1,0
296,1.7,1.7,1.1,1.0,0.0,0.0,1.9,1.5,4.8,6.1,4.6,4.6,10.1,10.4,1,3,-1,0,1,1,1,0,0
297,1.1,1.8,1.0,1.7,0.1,0.0,2.0,1.4,6.2,4.7,4.1,5.1,10.3,11.5,0,3,0,1,1,1,1,0,0
298,0.8,1.3,1.4,1.3,0.1,0.0,1.9,2.8,5.3,4.2,4.7,3.6,9.8,11.5,0,4,1,1,1,1,1,1,0
299,1.0,1.0,1.9,1.4,0.0,0.1,1.4,2.4,4.6,4.5,4.2,3.6,10.5,12.0,0,2,-1,0,1,1,0,0,0
300,1.9,0.9,1.3,2.3,0.1,0.0,2.2,2.0,6.2,3.3,6.1,3.2,11.9,9.9,0,5,-1,1,1,1,1,1,1
301,1.0,1.2,1.1,1.5,0.2,0.0,2.4,1.4,5.3,3.7,3.9,3.3,11.9,9.7,1,2,-1,0,1,1,0,0,0
302,3.2,1.5,0.9,2.2,0.1,0.0,1.0,1.6,7.3,3.6,6.2,3.8,9.1,10.6,1,4,-1,1,1,1,1,1,0
